,disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,name,party,min_value
0,2021,2021-10-04,2021-09-27,joint,BP,bp plc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,"Foxx, Virginia",Republican,1001
1,2021,2021-10-04,2021-09-13,joint,XOM,exxon mobil corporation,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,"Foxx, Virginia",Republican,1001
2,2021,2021-10-04,2021-09-10,joint,ILPT,industrial logistics properties trust common shares of beneficial interest,purchase,"$15,001 - $50,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,"Foxx, Virginia",Republican,15001
3,2021,2021-10-04,2021-09-28,joint,PM,phillip morris international inc,purchase,"$15,001 - $50,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019557.pdf,False,"Foxx, Virginia",Republican,15001
4,2021,2021-10-04,2021-09-17,self,BLK,blackrock inc,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019570.pdf,False,"Lowenthal, Alan S.",Democratic,1001
5,2021,2021-11-02,2021-10-13,joint,MO,altria group inc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
6,2021,2021-11-02,2021-10-07,joint,DUKH,duke energy corporation 5 125 junior subordinated debentures due 2073,sale_full,"$50,001 - $100,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,50001
7,2021,2021-11-02,2021-10-08,joint,GSK,glaxosmithkline plc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
8,2021,2021-11-02,2021-10-07,joint,OLP,one liberty properties inc,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
9,2021,2021-11-02,2021-10-04,joint,PPL,ppl corporation,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
10,2021,2021-11-02,2021-10-25,joint,SCU,sculptor capital management inc class a,purchase,"$15,001 - $50,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,15001
11,2021,2021-11-02,2021-10-26,joint,SCU,sculptor capital management inc class a,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
12,2021,2021-11-02,2021-10-08,joint,VIASP,via renewables inc 8 75 series a fixed to floating rate cumulative redeemable perpetual preferred stock,purchase,"$1,001 - $15,000",Hon. Virginia Foxx,NC05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019717.pdf,False,"Foxx, Virginia",Republican,1001
13,2020,2020-04-28,2020-02-24,joint,BHC,bausch health companies inc ,purchase,"$1,001 - $15,000",Hon. Susie Lee,NV03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016193.pdf,False,"Lee, Susie",Democratic,1001
